Designator,Mid X,Mid Y,Rotation,Layer
J1,32.5,52.5,270.0,bottom
J10,39.25,3.5,180.0,top
J11,30.25,3.5,180.0,top
J12,21.25,3.5,180.0,top
J13,12.25,3.5,180.0,top
J14,61.0,34.75,90.0,top
J2,4.75,10.5,180.0,top
J3,13.75,10.5,180.0,top
J4,22.75,10.5,180.0,top
J5,31.75,10.5,180.0,top
J6,40.75,10.5,180.0,top
J7,49.75,10.5,180.0,top
J8,58.75,10.5,180.0,top
J9,48.25,3.5,180.0,top
U10,42.095,31.5,90.0,top
U11,32.5,31.0,90.0,top
U12,24.0,31.5,90.0,top
U13,15.5,30.5,90.0,top
U2,8.5,41.68,90.0,top
U3,16.595,41.68,90.0,top
U4,24.0,41.68,90.0,top
U5,31.5,41.68,90.0,top
U6,39.0,41.68,90.0,top
U7,47.5,41.5,90.0,top
U8,55.595,41.5,90.0,top
U9,52.5,31.0,90.0,top
